Source Line,Source,CPU_CLK_UNHALTED.THREAD_ANY,OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_UOPS_RETIRED.ALL_STORES,MEM_UOPS_RETIRED.ALL_STORES_PS,CPU_CLK_UNHALTED.THREAD_ANY,CPU_CLK_UNHALTED.REF_TSC,CYCLE_ACTIVITY.STALLS_L1D_PENDING,OFFCORE_RESPONSE:request=ALL_DATA_RD:response=L3_MISS.ANY_DRAM,CYCLE_ACTIVITY.CYCLES_NO_EXECUTE,CYCLE_ACTIVITY.STALLS_L2_PENDING,L2_RQSTS.MISS,MISALIGN_MEM_REF.LOADS,MISALIGN_MEM_REF.STORES,CYCLE_ACTIVITY.STALLS_LDM_PENDING,MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS,MEM_LOAD_UOPS_RETIRED.L1_HIT_PS,MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,RESOURCE_STALLS.SB,RS_EVENTS.EMPTY_CYCLES,UOPS_RETIRED.ALL,UOPS_RETIRED.RETIRE_SLOTS,MEM_LOAD_UOPS_RETIRED.L2_HIT_PS,MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,MEM_LOAD_UOPS_RETIRED.L3_HIT,MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,MEM_LOAD_UOPS_RETIRED.L3_MISS,MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,MEM_UOPS_RETIRED.ALL_LOADS_PS,MEM_UOPS_RETIRED.ALL_STORES,MEM_UOPS_RETIRED.ALL_STORES_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L2_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_HIT_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L3_MISS_PS,Total_Latency_MEM_LOAD_UOPS_RETIRED.L1_MISS_PS,Total_Latency_MEM_LOAD_UOPS_L3_MISS_RETIRED.LOCAL_DRAM_PS
285,"        DO k=y_min,y_max+1",10000015,0,20000030,10000015,0,20000030,500015,0,0,0,0,0,0,30000090,0,0,5,3,0,0,2,1,0,0,0,2,0,2,1,0,0,1,1,0,0,0,0,0,0,6,0,0,0,0,0,1,0
286,"          DO j=x_min-1,x_max+2",110000165,0,110000165,80000120,0,0,0,0,0,250105,0,0,0,0,10000015,0,55,35,3,0,11,8,3,0,0,8,0,0,0,0,0,11,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
287,            ! Staggered cell mass pre advection,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,"            node_mass_pre(j,k,l)=node_mass_post(j,k,l)-node_flux(j-1,k,l)+node_flux(j,k,l)",16168024252,0,14030021045,14160021240,21500645,920001380,56501695,21500645,33263965,17757455,14000840,17000510,19501170,2205006615,320000480,401006015,8084,4847,1395,0,1403,1416,385,0,0,1406,43,92,113,0,14,521,402,43,133,71,56,34,78,441,32,401,133,56,78,113,43
289,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,     iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,     tmpFlop=iter*2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,     tmpMem=iter*4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,     flop=flop+tmpFlop !sc 51064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,     mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,     tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,     tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,    ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,"!$OMP DO PRIVATE(upwind,downwind,donor,dif,sigma,width,limiter,vdiffuw,vdiffdw,auw,adw,wind) REDUCTION (+:limiter_count)",2000003,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
309,"    DO l=z_min,z_max+1",4000006,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
310,"      DO k=y_min,y_max+1",42000063,0,10000015,0,0,10000015,0,500015,250105,0,500030,0,0,5000015,10000015,0,21,9,1,0,1,0,0,0,0,0,0,1,0,0,1,2,1,1,1,0,2,0,0,1,1,0,1,2,0,0,0
311,"        DO j=x_min-1,x_max+1",2110003165,0,680001020,110000165,0,15260022890,500015,500015,250105,250105,500030,1000030,0,14520043560,0,2000030,1055,661,7,0,68,11,28,0,0,29,0,1526,1,0,11,122,93,1,1,1,2,2,0,2904,0,2,1,2,0,1,0
312,"          IF(node_flux(j,k,l).LT.0.0)THEN",6008009012,0,3300004950,1880002820,5500165,140000210,42501275,33501005,8253465,750315,3500210,0,4000240,190000570,50000075,1000015,3004,1811,180,0,330,188,79,0,0,256,11,14,85,1,3,280,218,67,33,3,14,0,16,38,5,1,33,14,16,85,11
313,            upwind=j+2,320000480,0,70000105,0,0,0,0,0,0,0,0,0,0,0,10000015,0,160,96,2,0,7,0,9,0,0,7,0,0,0,0,2,91,86,0,0,0,0,0,0,0,1,0,0,0,0,0,0
314,            donor=j+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,            downwind=j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,            dif=donor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,          ELSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,            upwind=j-1,164000246,0,10000015,0,0,0,0,0,0,0,0,0,0,0,10000015,0,82,54,0,0,1,0,4,0,0,1,0,0,0,0,0,55,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0
319,            donor=j,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,            downwind=j+1,36000054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,8,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
321,            dif=upwind,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,          ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,"          sigma=ABS(node_flux(j,k,l))/(node_mass_pre(donor,k,l))",2346003519,0,1070001605,650000975,4500135,520000780,40501215,34001020,10254305,0,5000300,0,4750285,460001380,40000060,0,1173,647,70,0,107,65,56,0,0,101,9,52,81,0,0,192,197,68,41,0,20,0,19,92,4,0,41,20,19,81,9
324,          width=celldx(j),3600005400,0,2520003780,2290003435,0,70000105,0,500015,500210,250105,0,3000090,0,35000105,40000060,0,1800,1090,228,0,252,229,50,0,0,238,0,7,0,0,10,145,114,1,2,1,0,6,0,7,4,0,2,0,0,0,0
325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,"          !----------- velocity difference, upwind and downwind -------------------------------------------------------------------",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,"          vdiffuw=vel1(donor,k,l)-vel1(upwind,k,l)",810001215,0,230000345,50000075,0,880001320,1500045,2000060,1000420,250105,0,0,750045,1055003165,0,0,405,227,2,0,23,5,15,0,0,14,0,88,3,0,0,105,61,4,4,1,0,0,3,211,0,0,4,0,3,3,0
329,"          vdiffdw=vel1(downwind,k,l)-vel1(donor,k,l)",968001452,0,70000105,50000075,500015,210000315,4500135,4500135,500210,0,250015,500015,750045,220000660,20000030,0,484,317,1,0,7,5,16,0,0,3,1,21,9,0,1,65,48,9,2,0,1,1,3,44,2,0,2,1,3,9,1
330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,          !------------ start limiter calculation --------------------------------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,          limiter=0.0,1332001998,0,320000480,80000120,0,0,0,0,0,0,0,500015,0,0,10000015,0,666,398,8,0,32,8,19,0,0,27,0,0,0,0,1,205,152,0,0,0,0,1,0,0,1,0,0,0,0,0,0
333,          IF(vdiffuw*vdiffdw.GT.0.0)THEN,2842004263,0,1010001515,390000585,0,0,0,0,0,250105,0,1000030,0,0,20000030,0,1421,801,19,0,101,39,31,0,0,68,0,0,0,0,4,165,188,0,0,1,0,2,0,0,2,0,0,0,0,0,0
334,"            ! Sid - absolute value of the velocity difference, upwind and downwind",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,            auw=ABS(vdiffuw),562000843,0,220000330,50000075,0,80000120,0,0,0,0,0,0,0,45000135,40000060,0,281,172,0,0,22,5,12,0,0,11,0,8,0,0,0,155,172,0,0,0,0,0,0,9,4,0,0,0,0,0,0
336,            adw=ABS(vdiffdw),978001467,0,310000465,50000075,0,30000045,0,0,0,0,0,0,0,50000150,0,0,489,284,0,0,31,5,10,0,0,9,0,3,0,0,0,273,281,0,0,0,0,0,0,10,0,0,0,0,0,0,0
337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,            ! Sid - set wind = 1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,            wind=1.0_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,            IF(vdiffdw.LE.0.0) wind=-1.0_8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,            !Sid - Wind is now set            ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,"            !sigma is the flux/pre mass, tmp1= 2/sigma",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,            !Sid - absolute value of downwind divided by width,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,            !Sid - Sigma + 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,            !Sid - absolute value of upwind/celldx           ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,"            limiter=wind*MIN(width*((2.0_8-sigma)*adw/width+(1.0_8+sigma)*auw/celldx(dif))/6.0_8,auw,adw)",32484048726,0,5970008955,690001035,500015,12950019425,0,0,0,3001260,0,5000150,0,13485040455,850001275,0,16242,9812,20,0,597,69,478,0,0,367,1,1295,0,0,20,6126,5406,0,0,12,0,10,0,2697,85,0,0,0,0,0,0
348,            limiter_count=limiter_count+1,7430011145,0,1120001680,170000255,500015,0,0,0,0,2501050,0,1000030,0,0,800001200,0,3715,2178,9,0,112,17,100,0,0,95,1,0,0,0,0,1670,1388,0,0,10,0,2,0,0,80,0,0,0,0,0,0
349,          ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,"          advec_vel_s=vel1(donor,k,l)+(1.0-sigma)*limiter",11432017148,0,1920002880,310000465,500015,0,0,0,0,1500630,0,1500045,0,0,260000390,10000150,5716,3270,13,0,192,31,282,0,0,152,1,0,0,0,6,2462,2185,0,0,6,0,3,0,0,26,10,0,0,0,0,0
351,"          mom_flux(j,k,l)=advec_vel_s*node_flux(j,k,l)",15216022824,0,3990005985,580000870,0,0,0,0,0,250105,0,0,0,0,120000180,2408036120,7608,4474,16,0,399,58,224,0,0,252,0,0,0,0,10,1408,1217,0,0,1,0,0,0,0,12,2408,0,0,0,0,0
352,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,!$OMP MASTER,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,   iter=(z_max-z_max+2)*(y_max-y_min+2)*(x_max-x_min+3),0,0,0,0,500015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
359,   tmpFlop=tmpFlop+(iter*10)+(limiter_count*19),2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,   tmpMem=tmpMem+(iter*24)+(limiter_count*10),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
361,   flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,   mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,   tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,   tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,!------------------------------------ Limiter calculation complete ------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,nb_x=x_max+1,2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,nb_y=y_max+1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,nb_z=z_max+1,0,0,0,0,0,0,0,0,250105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
371,block_max=x_min+BLOCK_SIZE-1,0,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
372,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,!$OMP  DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,"        DO bj=x_min,nb_x,BLOCK_SIZE",2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375,"        DO bk=y_min,nb_x,BLOCK_SIZE",4000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
376,"        DO bl=z_min,nb_y,BLOCK_SIZE",6000009,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
377,"        DO j=bj,block_max",2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1000015,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0
378,"        DO k=bk,block_max",4000006,0,0,0,0,0,1000030,0,0,250105,0,0,0,10000030,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,2,0
379,"        DO l=bl,block_max",36000054,0,0,10000015,0,0,0,0,0,500210,0,1000030,0,0,0,0,18,6,1,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0
380,        IF (j.LT.nb_x .AND. k.LT.nb_x .AND. l.LT.nb_x) THEN,6000009,0,0,0,0,0,0,0,250105,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
381,"        vel1 (j,k,l)=(vel1 (j,k,l)*node_mass_pre(j,k,l)+mom_flux(j-1,k,l)-mom_flux(j,k,l))/node_mass_post(j,k,l)",2802004203,0,1990002985,1880002820,41001230,90000135,326009780,114003420,200084000,154814995,159259555,41501245,39002340,450001350,70000105,81001215,1401,816,194,0,199,188,191,0,0,195,82,9,652,0,3,152,111,228,800,619,637,83,156,90,7,81,800,637,155,652,82
382,        ENDIF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,        ENDDO,76000114,0,20000030,40000060,0,0,0,0,0,2000840,0,0,0,0,0,0,38,17,1,0,2,4,1,0,0,2,0,0,0,0,0,1,2,0,0,8,0,0,0,0,0,0,0,0,0,0,0
384,        ENDDO,0,0,0,0,0,0,0,0,250105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
385,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,        ENDDO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
387,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,    ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,  iter=(z_max-z_min+2)*(y_max-y_min+2)*(x_max-x_min+2),2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
394,  tmpFlop=iter*7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,  tmpMem=iter*6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,  flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,  mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,  tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,  tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,!------------------------------ Sid - Velocity calculation complete ------------------------------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,!------------------------------ repeat the same logic below for direction 2 and direction 3 ------------------------------,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,  ELSEIF(direction.EQ.2)THEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
406,    IF(which_vel.EQ.1)THEN,0,0,10000015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
407,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
408,"      DO l=z_min,z_max+1",4000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
409,"        DO k=y_min-2,y_max+2",24000036,0,0,0,0,70000105,0,0,0,0,0,0,0,60000180,0,0,12,7,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0
410,"          DO j=x_min,x_max+1",170000255,0,30000045,30000045,0,10000015,0,0,0,0,0,0,0,5000015,20000030,0,85,62,6,0,3,3,2,0,0,3,0,1,0,0,2,38,31,0,0,0,0,0,0,1,2,0,0,0,0,0,0
411,            ! Find staggered mesh mass fluxes and nodal masses and volumes.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
412,"            node_flux(j,k,l)=0.125_8*(mass_flux_y(j-1,k  ,l  )+mass_flux_y(j  ,k  ,l  ) &",1528002292,0,450000675,450000675,500015,2140003210,0,500015,0,2250945,250015,2000060,0,1985005955,120000180,361005415,764,454,34,0,45,45,71,0,0,41,1,214,0,1,8,366,279,1,0,9,1,4,0,397,12,361,0,1,0,0,1
413,"                                     +mass_flux_y(j-1,k+1,l  )+mass_flux_y(j  ,k+1,l  ) &",8864013296,0,6890010335,6770010155,1500045,850001275,10000300,6500195,8253465,2751155,3500210,500015,2000120,1005003015,120000180,0,4432,2628,699,0,689,677,159,0,0,731,3,85,20,1,4,457,341,13,33,11,14,1,8,201,12,0,33,14,8,20,3
414,"                                     +mass_flux_y(j-1,k  ,l-1)+mass_flux_y(j  ,k  ,l-1) &",850001275,0,500000750,370000555,0,800001200,500015,0,0,1000420,0,0,0,850002550,0,0,425,279,34,0,50,37,35,0,0,43,0,80,1,0,2,212,161,0,0,4,0,0,0,170,0,0,0,0,0,1,0
415,"                                     +mass_flux_y(j-1,k+1,l-1)+mass_flux_y(j  ,k+1,l-1))",1692002538,0,850001275,820001230,0,1530002295,12500375,7500225,1750735,1250525,2000120,1000030,500030,1935005805,70000105,0,846,564,73,0,85,82,50,0,0,100,0,153,25,0,3,285,203,15,7,5,8,2,2,387,7,0,7,8,2,25,0
416,          ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
417,        ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
418,      ENDDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
419,!$OMP END DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,!$OMP MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,      iter=(z_max-z_min+2)*(y_max-y_min+5)*(x_max-x_min+2),2000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
423,      tmpFlop=iter*8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
424,      tmpMem=iter*9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
425,      mem=mem+tmpMem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
426,      flop=flop+tmpFlop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
427,      tmpFlop=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,      tmpMem=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
429,!$OMP END MASTER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
431,!$OMP DO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
